h approx_res analytical_res
4.07 0.981246 0.981246
4.08 0.981526 0.981526
4.09 0.981801 0.981802
4.1 0.982073 0.982074
4.11 0.982342 0.982342
4.12 0.982606 0.982607
4.13 0.982868 0.982868
4.14 0.983125 0.983126
4.15 0.983379 0.98338
4.16 0.98363 0.983631
4.17 0.983878 0.983878
4.18 0.984121 0.984122
4.19 0.984362 0.984363
4.2 0.984599 0.9846
4.21 0.984834 0.984834
4.22 0.985064 0.985065
4.23 0.985292 0.985293
4.24 0.985517 0.985517
4.25 0.985738 0.985739
4.26 0.985957 0.985957
4.27 0.986172 0.986173
4.28 0.986385 0.986385
4.29 0.986594 0.986595
4.3 0.986801 0.986801
4.31 0.987004 0.987005
4.32 0.987205 0.987206
4.33 0.987403 0.987404
4.34 0.987599 0.987599
4.35 0.987791 0.987792
4.36 0.987981 0.987982
4.37 0.988168 0.988169
4.38 0.988353 0.988353
4.39 0.988535 0.988535
4.4 0.988714 0.988715
4.41 0.988891 0.988892
4.42 0.989065 0.989066
4.43 0.989237 0.989238
4.44 0.989407 0.989407
4.45 0.989574 0.989574
4.46 0.989738 0.989739
4.47 0.989901 0.989901
4.48 0.990061 0.990061
4.49 0.990218 0.990219
4.5 0.990374 0.990374
4.51 0.990527 0.990528
4.52 0.990678 0.990679
4.53 0.990827 0.990827
4.54 0.990973 0.990974
4.55 0.991118 0.991119
4.56 0.99126 0.991261
4.57 0.991401 0.991401
4.58 0.991539 0.99154
4.59 0.991675 0.991676
4.6 0.99181 0.99181
4.61 0.991942 0.991942
4.62 0.992072 0.992073
4.63 0.992201 0.992201
4.64 0.992327 0.992328
4.65 0.992452 0.992453
4.66 0.992575 0.992576
4.67 0.992696 0.992697
4.68 0.992815 0.992816
4.69 0.992933 0.992933
4.7 0.993048 0.993049
4.71 0.993162 0.993163
4.72 0.993275 0.993275
4.73 0.993385 0.993386
4.74 0.993494 0.993495
4.75 0.993602 0.993602
4.76 0.993708 0.993708
4.77 0.993812 0.993812
4.78 0.993914 0.993915
4.79 0.994015 0.994016
4.8 0.994115 0.994115
4.81 0.994213 0.994213
4.82 0.994309 0.99431
4.83 0.994404 0.994405
4.84 0.994498 0.994499
4.85 0.99459 0.994591
4.86 0.994681 0.994682
4.87 0.99477 0.994771
4.88 0.994858 0.994859
